ESTACIÓN,CÓDIGO,X=N,Y=E,MUNICIPIO,CUENCA,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Tisquesusa,2120631,1021250,977080,Facatativá,R. Subachoque,1967,0.0,0.0,0.0,0.0,22.7,106.9,40.1,38.0,38.6,94.2,77.1,50.5
Alto Saboya,2401520,1123700,1029290,Saboyá,R. Suárez,1989,108.6,78.8,146.0,136.0,177.4,71.0,48.2,106.0,79.5,89.0,94.1,67.0
El Hato No. 3,2401054,1072825,1014162,Carmen de Carupa,R. El Hato,1994,108.0,114.0,103.0,85.0,117.0,76.0,150.0,92.0,150.0,143.0,241.0,13.0
El Espino,2401033,1081440,1038110,Lenguazaque,R. Lenguazaque,2016,22.2,5.9,85.8,106.0,59.2,28.5,34.8,34.7,49.1,191.6,64.8,38.4
Novilleros,2401519,1080650,1032380,Ubaté,R. Ubaté,1971,64.2,37.1,118.5,126.9,115.2,45.1,42.3,27.0,41.8,114.2,87.3,70.0
El Hato No. 1,2401052,1077060,1017125,Carmen de Carupa,R. El Hato,1987,12.0,43.0,117.0,97.0,169.0,25.0,55.0,16.0,69.0,222.0,53.0,31.0
Punta de Vega,2401516,1078550,1032470,Ubaté,R. Suta,1967,0.0,32.3,66.2,108.3,70.7,96.1,28.4,32.6,28.4,36.1,79.5,42.3
Las Violetas,2120637,973395,931870,Agua de Dios,R. Bogotá,2012,104.4,77.1,64.3,184.7,89.7,17.4,17.8,7.0,34.2,142.6,54.6,74.4
San Jorge,2120172,990160,987380,Soacha,R. Soacha,2008,42.0,202.0,317.0,320.0,425.0,393.5,240.0,317.0,119.0,389.0,0.0,0.0
Apto Guaymaral,2120559,1023950,1001550,Santafe de Bogotá,R. Bogotá,1992,22.9,37.5,58.5,66.1,52.4,31.0,55.5,44.3,80.1,52.4,129.6,97.1
El Muña,2120561,993600,981280,Sibaté,Emb. Muña,1983,6.2,13.7,31.3,190.2,73.3,14.4,25.4,17.8,22.7,49.6,23.2,19.2
Tesoro,2120069,1022540,972900,Facatativá,R. Bojacá,2017,14.9,8.7,65.8,47.6,118.6,58.6,11.1,22.0,10.4,53.5,132.8,45.0
El Hato No. 3,2401054,1072825,1014162,Carmen de Carupa,R. El Hato,1983,39.0,30.0,65.0,154.0,180.0,62.0,96.0,71.0,28.0,71.0,68.0,54.0
Tocancipá,2120104,1040820,1017940,Tocancipá,R. Bogotá,1971,81.5,39.0,88.0,209.0,177.0,52.0,62.5,86.5,49.0,56.0,60.5,95.0
Guanquica No. 1,2120033,1065130,1015270,Tausa,Emb. Neusa,1962,74.6,69.1,87.6,64.5,119.4,90.7,57.0,57.1,23.1,84.6,193.1,38.4
Esclusa Tolón,2401518,1113740,1031620,Chiquinquirá,R. Suárez,1989,69.5,28.8,76.2,148.5,116.5,39.3,72.4,37.9,53.5,173.8,118.9,11.4
El Muña,2120561,993600,981280,Sibaté,Emb. Muña,1968,7.3,32.6,23.5,83.3,43.7,74.3,19.4,12.0,96.3,92.7,74.9,9.0
Guatavita,2120562,1034500,1023500,Guatavita,Emb. Tominé,2014,49.2,44.3,122.2,56.2,98.3,75.1,54.0,33.0,19.4,25.7,53.6,49.6
Almaviva,2120113,1029965,1005600,Chía,R. Bogotá,1996,0.0,0.0,0.0,0.0,0.0,21.4,101.9,24.5,0.0,0.0,0.0,0.0
Salucio,2120027,1057200,1039700,Chocontá,R. Bogotá,2007,1.2,22.7,17.3,62.6,76.2,144.8,52.0,86.0,39.9,99.3,51.7,35.6
El Hato,2401035,1076620,1019050,Carmen de Carupa,R. El Hato,1985,13.9,0.5,60.6,62.4,122.0,78.1,53.6,116.6,128.0,147.5,51.6,23.6
